Entity,Code,Year,Hydro
Bangladesh,BGD,1981,4.7269816
Bangladesh,BGD,1982,3.582893
Bangladesh,BGD,1983,4.5890126
Bangladesh,BGD,1984,5.7568502
Bangladesh,BGD,1985,4.2640357
Bangladesh,BGD,1986,2.3829525
Bangladesh,BGD,1987,2.4806774
Bangladesh,BGD,1988,2.908988
Bangladesh,BGD,1989,3.679739
Bangladesh,BGD,1990,3.331917
Bangladesh,BGD,1991,3.2737448
Bangladesh,BGD,1992,2.850549
Bangladesh,BGD,1993,1.9793183
Bangladesh,BGD,1994,2.5986552
Bangladesh,BGD,1995,0.9653535
Bangladesh,BGD,1996,1.831692
Bangladesh,BGD,1997,1.6959825
Bangladesh,BGD,1998,1.916027
Bangladesh,BGD,1999,1.8243144
Bangladesh,BGD,2000,1.528497
Bangladesh,BGD,2001,1.7638813
Bangladesh,BGD,2002,1.3145281
Bangladesh,BGD,2003,1.2370977
Bangladesh,BGD,2004,1.1574774
Bangladesh,BGD,2005,1.0590767
Bangladesh,BGD,2006,0.9733465
Bangladesh,BGD,2007,0.9413089
Bangladesh,BGD,2008,1.1251376
Bangladesh,BGD,2009,0.44624394
Bangladesh,BGD,2010,0.7565317
Bangladesh,BGD,2011,0.83219576
Bangladesh,BGD,2012,0.6791357
Bangladesh,BGD,2013,0.60794693
Bangladesh,BGD,2014,0.45265466
Bangladesh,BGD,2015,0.5907308
Bangladesh,BGD,2016,0.5750574
Bangladesh,BGD,2017,0.63906395
Bangladesh,BGD,2018,0.5005282
Bangladesh,BGD,2019,0.42236653
Bangladesh,BGD,2020,0.37835026
Bangladesh,BGD,2021,0.3411707
Bangladesh,BGD,2022,0.37195227
Bangladesh,BGD,2023,0.3292346
Bangladesh,BGD,2024,0.45844814
Belarus,BLR,1985,0.013615218
Belarus,BLR,1986,0.0119260205
Belarus,BLR,1987,0.011754909
Belarus,BLR,1988,0.011588526
Belarus,BLR,1989,0.011982035
Belarus,BLR,1990,0.011922588
Belarus,BLR,1991,0.010754932
Belarus,BLR,1992,0.011661243
Belarus,BLR,1993,0.015620828
Belarus,BLR,1994,0.0187022
Belarus,BLR,1995,0.02215995
Belarus,BLR,1996,0.017284459
Belarus,BLR,1997,0.022427503
Belarus,BLR,1998,0.03057955
Belarus,BLR,1999,0.02133183
Belarus,BLR,2000,0.029412428
Belarus,BLR,2001,0.033429142
Belarus,BLR,2002,0.030978968
Belarus,BLR,2003,0.02997258
Belarus,BLR,2004,0.03137622
Belarus,BLR,2005,0.034063485
Belarus,BLR,2006,0.030976878
Belarus,BLR,2007,0.03158428
Belarus,BLR,2008,0.03446102
Belarus,BLR,2009,0.0418084
Belarus,BLR,2010,0.038273096
Belarus,BLR,2011,0.036188588
Belarus,BLR,2012,0.057059422
Belarus,BLR,2013,0.11997647
Belarus,BLR,2014,0.10442698
Belarus,BLR,2015,0.10527593
Belarus,BLR,2016,0.13080908
Belarus,BLR,2017,0.36545324
Belarus,BLR,2018,0.26245767
Belarus,BLR,2019,0.28146845
Belarus,BLR,2020,0.34486282
Belarus,BLR,2021,0.2925994
Belarus,BLR,2022,0.29987544
Belarus,BLR,2023,0.24167202
Belarus,BLR,2024,0.20974725
Belgium,BEL,1965,0.1829909
Belgium,BEL,1966,0.20878457
Belgium,BEL,1967,0.15830955
Belgium,BEL,1968,0.14564289
Belgium,BEL,1969,0.12509272
Belgium,BEL,1970,0.12665026
Belgium,BEL,1971,0.07032211
Belgium,BEL,1972,0.0888573
Belgium,BEL,1973,0.08329198
Belgium,BEL,1974,0.121052876
Belgium,BEL,1975,0.09821431
Belgium,BEL,1976,0.055155154
Belgium,BEL,1977,0.11316579
Belgium,BEL,1978,0.10793419
Belgium,BEL,1979,0.11006159
Belgium,BEL,1980,0.13660717
Belgium,BEL,1981,0.19692077
Belgium,BEL,1982,0.18000259
Belgium,BEL,1983,0.1876169
Belgium,BEL,1984,0.18758838
Belgium,BEL,1985,0.14702216
Belgium,BEL,1986,0.17035149
Belgium,BEL,1987,0.206856
Belgium,BEL,1988,0.16972512
Belgium,BEL,1989,0.1431023
Belgium,BEL,1990,0.11941973
Belgium,BEL,1991,0.09935249
Belgium,BEL,1992,0.1482739
Belgium,BEL,1993,0.11223972
Belgium,BEL,1994,0.14531438
Belgium,BEL,1995,0.14022358
Belgium,BEL,1996,0.09334412
Belgium,BEL,1997,0.11793916
Belgium,BEL,1998,0.14750949
Belgium,BEL,1999,0.1302711
Belgium,BEL,2000,0.17259146
Belgium,BEL,2001,0.1659471
Belgium,BEL,2002,0.1350258
Belgium,BEL,2003,0.08869362
Belgium,BEL,2004,0.1127607
Belgium,BEL,2005,0.10280275
Belgium,BEL,2006,0.12708348
Belgium,BEL,2007,0.13602963
Belgium,BEL,2008,0.14000534
